,diveXplore,Exquisitor,vitrivr,vitrivr-VR,ViRMA,IVIST,VERGE,AVSEEKER,VISIONE,CVHunter,vibro,AIClub@UIT,V-FIRST,VIREO,VideoFall,VNUHCM
vbs22_all_AVS,14,15,5,11,16,1,9,7,6,4,2,13,10,3,8,12
vbs22_all_AVS2,14,15,13,10,16,11,4,5,9,1,2,3,6,7,12,8
vbs22-avs-01_AVS,8,10,4,9,13,5,11,7,6,3,1,12,16,2,14,15
vbs22-avs-01_AVS2,5,7,10,6,14,13,9,12,4,2,3,8,16,1,11,15
vbs22-avs-02_AVS,15,16,5,14,13,8,9,4,6,1,2,12,10,3,7,11
vbs22-avs-02_AVS2,14,16,12,13,15,10,8,4,7,1,2,9,6,5,3,11
vbs22-avs-04_AVS,15,12,4,1,14,5,9,7,6,8,3,11,13,2,16,10
vbs22-avs-04_AVS2,16,12,9,1,15,10,6,11,5,2,3,8,13,4,14,7
vbs22-avs-05_AVS,16,14,6,13,15,1,12,4,9,5,10,11,3,7,2,8
vbs22-avs-05_AVS2,16,10,14,13,15,12,8,4,9,1,7,2,3,11,5,6
vbs22-avs-06_AVS,9,16,5,12,14,6,7,11,3,10,4,15,13,2,1,8
vbs22-avs-06_AVS2,8,15,6,9,12,14,3,10,7,1,13,4,11,16,5,2
vbs22-avs-07_AVS,15,14,11,10,16,1,4,9,3,6,2,5,8,7,13,12
vbs22-avs-07_AVS2,15,14,13,9,16,3,2,7,8,6,1,4,5,10,12,11
vbs22-avs-09_AVS,14,16,12,13,15,1,11,8,10,2,3,5,4,6,9,7
vbs22-avs-09_AVS2,16,15,14,11,13,5,12,2,8,1,9,6,3,10,7,4
vbs22-avs-10_AVS,14,13,2,8,16,1,10,11,9,7,5,6,3,4,15,12
vbs22-avs-10_AVS2,13,11,7,6,16,1,9,12,14,8,5,2,4,3,15,10
