,VIREO,vitrivr,PERFECT MATCH,VideoCLIP,Verge,CVHunter,V-FIRST,diveXplore,vitrivr-VR,HTW,VISIONE,4MR,QIVISE
vbs23_all_AVS,1,7,13,4,6,3,9,10,8,2,5,12,11
vbs23_all_AVS2,3,6,13,8,5,2,9,10,7,1,4,12,11
vbs23-avs1_AVS,1,8,13,3,6,5,10,9,4,2,7,11,12
vbs23-avs1_AVS2,1,8,13,6,5,4,11,9,3,2,7,10,12
vbs23-avs2_AVS,5,6,13,3,7,4,9,11,8,2,1,10,12
vbs23-avs2_AVS2,6,8,13,7,3,4,11,10,2,5,1,9,12
vbs23-avs3_AVS,2,8,13,3,4,5,7,11,9,1,6,12,10
vbs23-avs3_AVS2,3,7,13,5,2,6,9,12,8,1,4,10,11
vbs23-avs4_AVS,1,2,13,5,4,3,6,7,10,8,9,11,12
vbs23-avs4_AVS2,1,2,13,8,3,4,10,5,9,6,7,12,11
vbs23-avs5_AVS,1,5,12,11,3,6,9,10,8,2,7,13,4
vbs23-avs5_AVS2,8,3,12,11,2,1,10,9,4,6,5,13,7
vbs23-avs6_AVS,1,9,13,3,7,4,5,11,6,2,8,12,10
vbs23-avs6_AVS2,5,8,13,3,6,2,9,11,4,1,7,12,10
vbs23-avs7_AVS,1,4,13,9,6,2,8,12,7,3,5,11,10
vbs23-avs7_AVS2,3,4,13,10,6,2,8,12,7,1,5,11,9
